cognome,nome,classe,disciplina,data_valutazione,voto,tipo
Crespi,Damiano,3BIT,Informatica,2023-12-30,4.8,pratico
Carfagna,Zaira,4BIT,Religione Cattolica,2024-06-04,7.9,scritto
Bongiorno,Simone,3BIT,Informatica,2024-05-02,5.2,scritto
Seddio,Germana,3BIT,Sistemi e Reti,2024-05-07,5.3,orale
Stefanelli,Amadeo,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-09-29,4.0,pratico
Tommaseo,Letizia,5CIT,Lingua e Letteratura Italiana,2024-05-11,8.5,pratico
Alighieri,Gabriele,5CIT,Sistemi e Reti,2024-03-29,4.0,pratico
Monaco,Graziano,3BIT,Matematica,2024-01-29,6.5,scritto
Bongiorno,Simone,3BIT,Informatica,2024-01-07,4.0,scritto
Pavanello,Marta,5CIT,Religione Cattolica,2024-01-07,3.4,pratico
Pedrazzini,Atenulf,5CIT,Scienze Motorie e Sportive,2024-02-29,7.8,pratico
Alighieri,Gabriele,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-30,5.9,scritto
Petrocelli,Anita,3BIT,Sistemi e Reti,2024-02-24,3.7,orale
Pedrazzini,Atenulf,5CIT,Sistemi e Reti,2024-02-11,5.2,scritto
Palmisano,Allegra,5CIT,Sistemi e Reti,2023-09-28,3.2,scritto
Petrocelli,Anita,3BIT,Lingua Inglese,2024-02-03,3.4,scritto
Campise,Liberto,3BIT,Informatica,2023-11-19,4.9,orale
Rubbia,Domenico,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-15,5.1,orale
Pennetta,Griselda,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-25,8.7,pratico
Pezzali,Saverio,5CIT,Lingua Inglese,2023-09-22,7.9,pratico
Trentini,Matilda,4BIT,Storia,2023-09-22,7.4,orale
Saraceno,Corrado,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-04,8.6,orale
Ceri,Augusto,4BIT,Matematica,2024-01-28,8.8,pratico
Petrocelli,Anita,3BIT,Lingua e Letteratura Italiana,2023-11-07,7.6,pratico
Gianetti,Elisa,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-14,6.3,orale
Petrocelli,Manuel,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-04,8.2,scritto
Benedetti,Sophia,3BIT,Matematica,2024-01-25,3.4,orale
Perini,Luigi,5CIT,Lingua Inglese,2024-05-06,6.4,orale
Schiavo,Amedeo,5CIT,Scienze Motorie e Sportive,2023-11-11,5.1,scritto
Balotelli,Roberto,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-24,4.5,pratico
Bonaventura,Cecilia,4BIT,Lingua Inglese,2024-04-30,8.1,scritto
Ricci,Rita,3BIT,Religione Cattolica,2024-06-06,4.2,orale
Alfieri,Ivan,3BIT,Storia,2024-01-18,9.7,pratico
Carocci,Emma,5CIT,Religione Cattolica,2023-09-27,9.7,pratico
Boito,Carla,5CIT,Religione Cattolica,2023-10-31,8.0,orale
Forza,Hugo,3BIT,Informatica,2024-04-30,3.9,orale
Vianello,Ezio,4BIT,Lingua Inglese,2024-01-02,3.1,scritto
Soranzo,Raffaellino,4BIT,Storia,2023-09-25,7.7,orale
Bajamonti,Tonino,3BIT,Informatica,2023-11-04,9.7,scritto
Lippomano,Alessandro,4BIT,Scienze Motorie e Sportive,2023-10-04,4.4,orale
Stefanelli,Amadeo,4BIT,Storia,2023-12-25,8.4,scritto
Dossetti,Liberto,4BIT,Religione Cattolica,2024-03-19,8.2,orale
Saraceno,Corrado,3BIT,Informatica,2024-01-28,7.5,orale
Balotelli,Roberto,4BIT,Informatica,2024-04-17,4.0,pratico
Delle,Fulvio,5CIT,Lingua Inglese,2024-04-29,7.1,orale
Montalcini,Niccolò,5CIT,Lingua e Letteratura Italiana,2023-09-28,3.1,orale
Florio,Veronica,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-26,8.5,pratico
Saraceno,Corrado,3BIT,Storia,2024-01-25,6.1,scritto
Pezzali,Saverio,5CIT,Sistemi e Reti,2023-11-18,3.6,scritto
Casini,Valentina,3BIT,Sistemi e Reti,2023-11-10,8.7,scritto
Tamburini,Gemma,4BIT,Scienze Motorie e Sportive,2023-09-17,5.9,scritto
Benussi,Giorgio,4BIT,Scienze Motorie e Sportive,2023-10-29,6.2,orale
Tamburini,Gemma,4BIT,Religione Cattolica,2024-05-17,3.4,scritto
Forza,Hugo,3BIT,Religione Cattolica,2024-01-18,4.2,scritto
Gonzaga,Ettore,5CIT,Religione Cattolica,2023-10-06,9.1,orale
Forza,Hugo,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-04-17,7.5,pratico
Gianetti,Elisa,4BIT,Storia,2023-12-04,6.0,scritto
Zaccardo,Sandro,5CIT,Religione Cattolica,2024-04-03,3.1,orale
Nicoletti,Roberta,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-27,9.2,orale
Tommaseo,Letizia,5CIT,Scienze Motorie e Sportive,2024-02-07,5.0,pratico
Tamburini,Gemma,4BIT,Lingua Inglese,2024-05-14,5.8,orale
Maderna,Laureano,5CIT,Lingua Inglese,2023-09-24,3.7,orale
Bajardi,Arturo,5CIT,Lingua e Letteratura Italiana,2023-12-30,8.7,pratico
Montalcini,Niccolò,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-12-28,3.4,pratico
Carocci,Emma,5CIT,Matematica,2023-10-08,6.2,orale
Simeoni,Mirco,4BIT,Lingua e Letteratura Italiana,2024-02-12,6.6,pratico
Pezzali,Saverio,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-31,4.2,orale
Anichini,Marcella,5CIT,Matematica,2024-03-18,4.3,scritto
Stefanelli,Amadeo,4BIT,Storia,2023-11-18,9.1,orale
Petrocelli,Manuel,4BIT,Informatica,2024-04-16,4.1,orale
Peranda,Alina,3BIT,Sistemi e Reti,2024-04-20,5.7,scritto
Simeoni,Mirco,4BIT,Scienze Motorie e Sportive,2024-04-29,6.5,pratico
Natta,Ludovico,5CIT,Scienze Motorie e Sportive,2024-05-17,3.0,scritto
Vianello,Ezio,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-27,7.9,scritto
Matteotti,Patrizia,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-12-15,3.6,orale
Coardi,Franco,4BIT,Matematica,2024-02-07,9.9,pratico
Delle,Fulvio,5CIT,Sistemi e Reti,2023-10-29,9.0,pratico
Ricci,Rita,3BIT,Scienze Motorie e Sportive,2023-10-31,5.5,pratico
Cremonesi,Irma,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-17,9.5,scritto
Gemito,Ludovico,3BIT,Informatica,2024-03-11,8.8,orale
Cafarchia,Alessandro,3BIT,Lingua e Letteratura Italiana,2023-11-12,5.1,orale
Alighieri,Gabriele,5CIT,Scienze Motorie e Sportive,2023-11-30,4.9,orale
Saraceno,Corrado,3BIT,Matematica,2024-05-19,6.9,scritto
Nicoletti,Roberta,3BIT,Matematica,2024-03-28,7.8,scritto
Bongiorno,Simone,3BIT,Scienze Motorie e Sportive,2024-06-07,4.3,scritto
Balotelli,Roberto,4BIT,Religione Cattolica,2023-11-28,8.8,orale
Zaccardo,Sandro,5CIT,Lingua Inglese,2024-06-02,6.6,pratico
Campise,Liberto,3BIT,Lingua Inglese,2024-05-09,3.2,pratico
Soranzo,Raffaellino,4BIT,Matematica,2024-01-10,3.4,scritto
Bonaventura,Cecilia,4BIT,Matematica,2024-05-09,7.3,scritto
Cimini,Tatiana,5CIT,Lingua e Letteratura Italiana,2023-12-30,4.6,pratico
Taliani,Maurizio,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-08,7.1,orale
Marrone,Lisa,3BIT,Lingua e Letteratura Italiana,2024-04-23,7.5,scritto
Pezzali,Saverio,5CIT,Sistemi e Reti,2023-12-12,5.5,scritto
Ricci,Rita,3BIT,Storia,2023-10-08,9.4,pratico
Manolesso,Laura,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-15,3.6,orale
Gemito,Ludovico,3BIT,Sistemi e Reti,2024-06-04,8.4,scritto
Bajardi,Arturo,5CIT,Lingua Inglese,2024-01-23,9.5,scritto
Coardi,Franco,4BIT,Storia,2023-12-22,5.9,pratico
Balotelli,Roberto,4BIT,Lingua Inglese,2024-05-04,8.6,pratico
Carfagna,Zaira,4BIT,Scienze Motorie e Sportive,2023-11-28,7.6,pratico
Taliani,Maurizio,4BIT,Storia,2023-12-25,7.8,orale
Maderna,Laureano,5CIT,Matematica,2024-03-21,9.6,orale
Pedrazzini,Atenulf,5CIT,Lingua Inglese,2024-03-25,6.7,scritto
Pontecorvo,Mirko,5CIT,Lingua Inglese,2024-04-15,8.9,pratico
Zabarella,Fedele,4BIT,Lingua e Letteratura Italiana,2024-03-08,8.5,scritto
Cremonesi,Irma,3BIT,Lingua e Letteratura Italiana,2023-12-20,8.8,pratico
Monduzzi,Loredana,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-25,4.0,pratico
Florio,Veronica,5CIT,Lingua Inglese,2023-11-21,7.1,pratico
Petrocelli,Manuel,4BIT,Religione Cattolica,2024-04-21,5.3,pratico
Crespi,Damiano,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-12-21,3.8,pratico
Tamburini,Gemma,4BIT,Storia,2024-03-23,3.5,pratico
Delle,Fulvio,5CIT,Sistemi e Reti,2023-12-19,8.1,orale
Gonzaga,Ettore,5CIT,Religione Cattolica,2023-12-04,9.2,pratico
Roero,Alberto,4BIT,Lingua Inglese,2024-03-02,5.8,scritto
Benedetti,Sophia,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-12,7.0,orale
Matteotti,Patrizia,3BIT,Scienze Motorie e Sportive,2023-11-14,3.5,pratico
Forza,Hugo,3BIT,Scienze Motorie e Sportive,2024-02-06,9.4,pratico
Zacchia,Romina,4BIT,Religione Cattolica,2023-10-14,7.4,scritto
Palmisano,Allegra,5CIT,Storia,2024-04-19,6.7,pratico
Delle,Fulvio,5CIT,Storia,2024-03-13,5.1,orale
Antonelli,Maura,3BIT,Matematica,2023-11-17,7.5,pratico
Vianello,Ezio,4BIT,Storia,2024-04-09,7.3,orale
Pavanello,Marta,5CIT,Religione Cattolica,2023-11-12,6.7,pratico
Lippomano,Alessandro,4BIT,Religione Cattolica,2024-03-22,3.9,scritto
Cipolla,Federica,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-08,4.4,orale
Trentini,Matilda,4BIT,Matematica,2024-06-01,3.3,pratico
Giorgetti,Alfredo,4BIT,Religione Cattolica,2023-12-17,4.3,pratico
Vianello,Ezio,4BIT,Religione Cattolica,2023-09-20,6.6,pratico
Esposito,Maurilio,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-09,5.4,orale
Forza,Hugo,3BIT,Storia,2024-05-15,6.9,pratico
Roero,Alberto,4BIT,Religione Cattolica,2024-05-01,9.9,scritto
Rubbia,Domenico,3BIT,Religione Cattolica,2024-03-19,6.7,scritto
Gonzaga,Ettore,5CIT,Storia,2023-10-10,6.9,pratico
Dossetti,Liberto,4BIT,Scienze Motorie e Sportive,2023-12-12,3.6,pratico
Palmisano,Allegra,5CIT,Scienze Motorie e Sportive,2024-01-10,6.5,orale
Boito,Carla,5CIT,Lingua Inglese,2023-12-20,3.9,scritto
Ovadia,Telemaco,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-04-19,6.4,scritto
Sgarbi,Fortunata,5CIT,Lingua Inglese,2024-03-05,3.2,pratico
Seddio,Germana,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-06,9.0,pratico
Cipolla,Federica,3BIT,Lingua e Letteratura Italiana,2023-12-12,8.4,pratico
Natta,Ludovico,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-27,8.0,pratico
Tommaseo,Letizia,5CIT,Lingua Inglese,2024-01-17,3.1,scritto
Valier,Carmelo,4BIT,Matematica,2024-02-16,5.4,orale
Saraceno,Corrado,3BIT,Scienze Motorie e Sportive,2023-11-04,9.1,scritto
Cipolla,Federica,3BIT,Informatica,2024-02-19,3.4,orale
Gianetti,Elisa,4BIT,Sistemi e Reti,2023-12-19,5.2,scritto
Monduzzi,Loredana,5CIT,Informatica,2024-03-28,8.5,orale
Petrocelli,Anita,3BIT,Storia,2024-04-30,4.5,orale
Taliani,Maurizio,4BIT,Matematica,2023-10-17,9.2,orale
Monduzzi,Loredana,5CIT,Matematica,2024-04-11,7.7,orale
Casini,Valentina,3BIT,Lingua e Letteratura Italiana,2023-09-18,6.4,scritto
Tommaseo,Letizia,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-13,4.7,pratico
Satriani,Fulvio,4BIT,Informatica,2023-10-22,6.8,scritto
Maderna,Laureano,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-12,7.3,pratico
Ovadia,Telemaco,5CIT,Lingua Inglese,2024-05-12,6.1,pratico
Natta,Ludovico,5CIT,Lingua e Letteratura Italiana,2024-04-10,8.0,pratico
Zacchia,Romina,4BIT,Religione Cattolica,2023-12-10,7.5,pratico
Ceri,Augusto,4BIT,Informatica,2024-03-10,8.5,pratico
Tommaseo,Letizia,5CIT,Scienze Motorie e Sportive,2023-11-11,8.6,scritto
Pavanello,Marta,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-18,3.2,pratico
Bajardi,Arturo,5CIT,Informatica,2023-11-11,7.7,pratico
Vianello,Ezio,4BIT,Matematica,2024-02-21,5.0,pratico
Forza,Hugo,3BIT,Scienze Motorie e Sportive,2024-04-18,4.9,orale
Niscoromni,Ermes,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-22,3.8,orale
Anichini,Marcella,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-14,4.7,orale
Trentini,Matilda,4BIT,Lingua e Letteratura Italiana,2024-01-10,5.7,orale
Sgarbi,Fortunata,5CIT,Lingua e Letteratura Italiana,2024-04-26,5.5,scritto
Bajamonti,Tonino,3BIT,Sistemi e Reti,2024-04-18,6.8,orale
Tommaseo,Letizia,5CIT,Lingua e Letteratura Italiana,2023-09-26,6.5,orale
Stefanelli,Amadeo,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-17,9.0,scritto
Antonelli,Maura,3BIT,Lingua Inglese,2024-04-03,7.8,pratico
Bongiorno,Simone,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-27,6.9,orale
Boito,Carla,5CIT,Lingua e Letteratura Italiana,2023-10-28,4.2,orale
Seddio,Germana,3BIT,Sistemi e Reti,2024-01-22,6.4,scritto
Monduzzi,Loredana,5CIT,Scienze Motorie e Sportive,2023-09-18,8.9,orale
Petrocelli,Manuel,4BIT,Informatica,2024-02-13,7.5,scritto
Cafarchia,Alessandro,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-08,7.3,orale
Monduzzi,Loredana,5CIT,Matematica,2024-02-01,6.1,orale
Stefanelli,Amadeo,4BIT,Matematica,2024-03-24,9.6,orale
Benedetti,Sophia,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-10,7.7,pratico
Gonzaga,Ettore,5CIT,Scienze Motorie e Sportive,2024-03-26,9.0,scritto
Crespi,Damiano,3BIT,Religione Cattolica,2023-11-25,5.2,orale
Fantoni,Alphons,5CIT,Storia,2024-01-21,9.4,orale
Campise,Liberto,3BIT,Lingua Inglese,2023-09-21,3.9,orale
Alfieri,Ivan,3BIT,Scienze Motorie e Sportive,2023-09-18,6.8,pratico
Gentilini,Lina,3BIT,Sistemi e Reti,2024-03-01,8.3,orale
Gentilini,Lina,3BIT,Lingua e Letteratura Italiana,2024-04-28,5.5,scritto
Palmisano,Allegra,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-04,3.2,pratico
Palmisano,Allegra,5CIT,Informatica,2023-09-17,7.9,orale
Montalcini,Niccolò,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-04-25,3.0,pratico
Tamburini,Gemma,4BIT,Lingua Inglese,2023-11-18,7.7,pratico
Carocci,Emma,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-16,5.7,scritto
Petrocelli,Anita,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-14,6.6,orale
Trentini,Matilda,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-31,9.1,scritto
Forza,Hugo,3BIT,Scienze Motorie e Sportive,2024-05-01,3.7,orale
Coardi,Franco,4BIT,Sistemi e Reti,2023-10-22,9.4,orale
Staglieno,Pierluigi,5CIT,Storia,2023-10-14,9.8,scritto
Pedrazzini,Atenulf,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-10,6.4,scritto
Natta,Ludovico,5CIT,Lingua Inglese,2024-01-13,8.4,scritto
Dossetti,Liberto,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-14,5.2,pratico
Forza,Hugo,3BIT,Lingua Inglese,2024-02-06,3.9,pratico
Casini,Valentina,3BIT,Lingua e Letteratura Italiana,2024-05-15,5.6,scritto
Fantoni,Alphons,5CIT,Informatica,2024-03-07,9.8,pratico
Antonelli,Maura,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-28,3.5,orale
Taliani,Maurizio,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-04-20,8.4,pratico
Rubbia,Domenico,3BIT,Matematica,2024-02-03,7.1,scritto
Boito,Carla,5CIT,Lingua e Letteratura Italiana,2024-02-14,7.8,scritto
Benedetti,Sophia,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-24,9.3,orale
Gianetti,Elisa,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-10,3.0,scritto
Cipolla,Federica,3BIT,Storia,2023-12-19,6.1,pratico
Cremonesi,Irma,3BIT,Religione Cattolica,2024-01-29,7.6,orale
Matteotti,Patrizia,3BIT,Lingua e Letteratura Italiana,2023-11-27,6.5,pratico
Zacchia,Romina,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-16,7.9,pratico
Rubbia,Domenico,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-01,8.2,scritto
Roero,Alberto,4BIT,Matematica,2024-03-28,5.3,pratico
Stefanelli,Amadeo,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-09,5.2,orale
Monduzzi,Loredana,5CIT,Informatica,2023-09-30,9.6,scritto
Vianello,Ezio,4BIT,Informatica,2024-05-12,5.4,orale
Florio,Veronica,5CIT,Religione Cattolica,2024-04-09,5.1,orale
Pontecorvo,Mirko,5CIT,Matematica,2024-04-06,3.6,orale
Soranzo,Raffaellino,4BIT,Sistemi e Reti,2023-09-24,4.3,orale
Crespi,Damiano,3BIT,Sistemi e Reti,2023-09-27,8.5,pratico
Benussi,Giorgio,4BIT,Lingua e Letteratura Italiana,2023-10-07,3.0,scritto
Bongiorno,Simone,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-16,7.6,scritto
Soranzo,Raffaellino,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-22,3.2,orale
Alighieri,Gabriele,5CIT,Informatica,2023-11-27,4.4,scritto
Ovadia,Telemaco,5CIT,Lingua Inglese,2023-09-15,9.0,scritto
Bongiorno,Simone,3BIT,Matematica,2024-03-24,9.7,orale
Pedrazzini,Atenulf,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-04,3.5,orale
Palmisano,Allegra,5CIT,Lingua Inglese,2024-05-20,8.6,pratico
Alighieri,Gabriele,5CIT,Informatica,2024-04-23,9.2,scritto
Schiavo,Amedeo,5CIT,Lingua e Letteratura Italiana,2023-10-05,6.5,orale
Coardi,Franco,4BIT,Matematica,2023-10-19,9.0,scritto
Gonzaga,Ettore,5CIT,Sistemi e Reti,2023-12-11,7.3,scritto
Pedrazzini,Atenulf,5CIT,Lingua Inglese,2023-10-03,6.3,scritto
Casini,Valentina,3BIT,Sistemi e Reti,2023-10-26,3.5,scritto
Satriani,Fulvio,4BIT,Lingua Inglese,2023-11-05,4.7,orale
Coardi,Franco,4BIT,Religione Cattolica,2023-10-23,7.0,orale
Taliani,Maurizio,4BIT,Religione Cattolica,2024-05-05,7.2,scritto
Manolesso,Laura,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-04-17,9.4,scritto
Balotelli,Roberto,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-04,3.3,orale
Schiavo,Amedeo,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-11,7.9,pratico
Fantoni,Alphons,5CIT,Lingua Inglese,2024-01-16,6.3,pratico
Ceri,Augusto,4BIT,Sistemi e Reti,2023-11-06,6.8,pratico
Satriani,Fulvio,4BIT,Sistemi e Reti,2024-02-08,3.4,orale
Ricci,Rita,3BIT,Lingua e Letteratura Italiana,2023-11-21,3.0,pratico
Taliani,Maurizio,4BIT,Lingua Inglese,2023-10-22,3.4,pratico
Saraceno,Corrado,3BIT,Lingua e Letteratura Italiana,2024-01-16,4.4,pratico
Palmisano,Allegra,5CIT,Lingua Inglese,2024-01-19,7.3,orale
Benussi,Giorgio,4BIT,Informatica,2024-03-26,4.7,pratico
Montalcini,Niccolò,5CIT,Religione Cattolica,2024-03-07,7.7,pratico
Gianetti,Elisa,4BIT,Informatica,2023-11-07,8.4,orale
Cimini,Tatiana,5CIT,Informatica,2024-05-15,3.6,scritto
Valier,Carmelo,4BIT,Religione Cattolica,2024-02-10,6.7,pratico
Casini,Valentina,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-24,6.2,pratico
Bonaventura,Cecilia,4BIT,Sistemi e Reti,2024-03-31,9.8,pratico
Bonaventura,Cecilia,4BIT,Storia,2024-05-31,3.1,pratico
Fantoni,Alphons,5CIT,Scienze Motorie e Sportive,2023-11-04,3.3,orale
Zabarella,Fedele,4BIT,Lingua e Letteratura Italiana,2024-01-29,4.0,scritto
Gemito,Ludovico,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-11,4.2,pratico
Gemito,Ludovico,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-29,7.0,scritto
Saraceno,Corrado,3BIT,Sistemi e Reti,2024-04-21,8.0,pratico
Gentilini,Lina,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-28,8.5,orale
Lippomano,Alessandro,4BIT,Sistemi e Reti,2024-03-20,6.8,orale
Monduzzi,Loredana,5CIT,Sistemi e Reti,2024-03-01,7.3,pratico
Cafarchia,Alessandro,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-22,7.4,orale
Pennetta,Griselda,5CIT,Lingua Inglese,2024-03-17,8.9,scritto
Stefanelli,Amadeo,4BIT,Scienze Motorie e Sportive,2024-03-12,5.4,orale
Cafarchia,Alessandro,3BIT,Lingua Inglese,2024-03-12,9.1,orale
Gentilini,Lina,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-31,5.2,orale
Casini,Valentina,3BIT,Storia,2024-05-26,3.5,orale
Natta,Ludovico,5CIT,Religione Cattolica,2024-02-10,5.4,orale
Monte,Berenice,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-17,3.6,pratico
Bajamonti,Tonino,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-27,9.6,scritto
Staglieno,Pierluigi,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-24,5.3,scritto
Ceri,Augusto,4BIT,Informatica,2023-12-27,6.1,scritto
Valier,Carmelo,4BIT,Scienze Motorie e Sportive,2024-06-07,6.8,scritto
Sgarbi,Fortunata,5CIT,Lingua e Letteratura Italiana,2023-12-25,6.2,scritto
Caffarelli,Luca,4BIT,Lingua Inglese,2024-01-17,8.3,pratico
Petrocelli,Anita,3BIT,Scienze Motorie e Sportive,2023-12-09,9.6,orale
Bongiorno,Simone,3BIT,Matematica,2024-03-01,3.3,scritto
Ovadia,Telemaco,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-05,7.2,pratico
Sgarbi,Fortunata,5CIT,Informatica,2024-04-16,8.1,orale
Monte,Berenice,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-11,4.5,scritto
Casini,Valentina,3BIT,Matematica,2024-02-15,9.4,scritto
Perini,Luigi,5CIT,Storia,2024-01-19,7.6,scritto
Valier,Carmelo,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-26,3.6,orale
Bonaventura,Cecilia,4BIT,Informatica,2023-09-28,8.6,orale
Zaccardo,Sandro,5CIT,Matematica,2023-11-20,3.7,orale
Saraceno,Corrado,3BIT,Storia,2024-04-30,6.1,pratico
Montalcini,Niccolò,5CIT,Storia,2024-06-05,7.3,orale
Vianello,Ezio,4BIT,Sistemi e Reti,2023-10-07,6.9,orale
Sgarbi,Fortunata,5CIT,Informatica,2024-02-16,5.8,orale
Alfieri,Ivan,3BIT,Storia,2024-03-17,5.8,orale
Niscoromni,Ermes,4BIT,Informatica,2024-03-19,4.7,pratico
Perini,Luigi,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-12-23,8.2,orale
Montalcini,Niccolò,5CIT,Religione Cattolica,2023-10-12,5.4,orale
Bajamonti,Tonino,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-11,6.5,pratico
Alighieri,Gabriele,5CIT,Lingua Inglese,2024-03-19,9.4,scritto
Manolesso,Laura,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-13,6.9,scritto
Maderna,Laureano,5CIT,Scienze Motorie e Sportive,2024-02-07,9.3,orale
Manolesso,Laura,3BIT,Matematica,2024-02-03,6.3,pratico
Pezzali,Saverio,5CIT,Informatica,2024-05-26,8.9,orale
Benedetti,Sophia,3BIT,Lingua Inglese,2023-11-18,8.9,orale
Forza,Hugo,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-30,9.9,pratico
Ovadia,Telemaco,5CIT,Religione Cattolica,2024-02-11,5.0,scritto
Bajardi,Arturo,5CIT,Storia,2024-03-07,7.5,pratico
Balotelli,Roberto,4BIT,Storia,2023-10-19,3.8,pratico
Pezzali,Saverio,5CIT,Scienze Motorie e Sportive,2024-01-16,4.9,pratico
Staglieno,Pierluigi,5CIT,Matematica,2023-11-26,5.0,scritto
Seddio,Germana,3BIT,Matematica,2024-02-11,5.7,scritto
Balotelli,Roberto,4BIT,Matematica,2023-11-18,9.7,pratico
Ricci,Rita,3BIT,Sistemi e Reti,2024-05-26,9.3,pratico
Pennetta,Griselda,5CIT,Religione Cattolica,2023-10-02,5.0,pratico
Cafarchia,Alessandro,3BIT,Scienze Motorie e Sportive,2024-01-23,5.4,scritto
Monaco,Graziano,3BIT,Scienze Motorie e Sportive,2024-04-22,4.5,scritto
Benussi,Giorgio,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-19,5.0,orale
Taliani,Maurizio,4BIT,Religione Cattolica,2023-09-29,5.2,pratico
Vianello,Ezio,4BIT,Religione Cattolica,2024-02-26,9.4,orale
Seddio,Germana,3BIT,Lingua e Letteratura Italiana,2024-02-10,9.1,scritto
